"Story","Title","Result","Date","Stability","Duration (s)"
"HU-002 Buscador aleatorio Walmart","Buscar palabra en  buscador de Walmart exitoso","SUCCESS","2021-06-12T15:03:27.377-05:00[America/Bogota]","0.0","56.09"
"HU 003 BACKGOUND","Buscar el producto en el buscador de walmart","SUCCESS","2021-06-12T14:54:22.361-05:00[America/Bogota]","0.0","119.89"
